ACCELEROMETER X (m/s2),ACCELEROMETER Y (m/s2),ACCELEROMETER Z (m/s2),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (T),MAGNETIC FIELD Y (T),MAGNETIC FIELD Z (T),LABEL,SUBJECT
-2.1715,0.0335,9.3913,0.0416,0.0076,-8.00E-04,-16.9,7.3,-2.6,6,1
-2.2039,0.2119,9.3338,0.015,0.0036,0.0011,-17,7.3,-2.7,6,1
-2.2362,0.2813,9.3865,-0.0442,-0.0062,-2.00E-04,-17.1,7.2,-2.9,6,1
-2.2003,0.1724,9.3709,-0.0282,-0.0055,2.00E-04,-16.9,7.2,-3.1,6,1
-2.1691,0.0646,9.4188,-0.0312,-0.0079,-0.0029,-16.6,7.2,-2.5,6,1
-2.132,-0.0251,9.3721,0.011,0.0298,7.00E-04,-16.8,7.2,-2.4,6,1
-2.1476,-0.0634,9.3817,0.0183,0.0029,0.0026,-16.8,7.3,-2.3,6,1
-2.1799,0.0156,9.2907,0.0336,-0.0166,-0.0011,-16.8,7.4,-2.3,6,1
-2.2122,0.2705,9.3769,0.0849,-0.013,-0.0029,-17.1,7.3,-2.8,6,1
-2.2098,0.316,9.3541,-0.059,-0.0085,-2.00E-04,-17,7.1,-3.1,6,1
-2.1991,0.1616,9.3781,-0.0675,-0.0085,-0.002,-17,7.1,-2.7,6,1
-2.1464,0.079,9.4188,-0.0407,0.0018,-0.002,-16.9,7.4,-2.8,6,1
-2.138,-0.0204,9.4056,0.0253,0.0206,-0.0016,-16.7,7.6,-2.6,6,1
-2.1404,-0.0539,9.4068,0.032,0.0029,8.00E-04,-16.8,7.5,-2.6,6,1
-2.1644,-0.0419,9.3589,0.0404,0.0344,0.0019,-16.7,7.5,-2.5,6,1
-2.1739,0.0658,9.4044,0.0367,0.0038,0.0013,-16.8,7.3,-2.7,6,1
-2.1919,0.2466,9.3841,-0.0117,0.019,0.002,-17,7.5,-2.8,6,1
-2.1823,0.1448,9.4128,-0.0667,0.0019,-0.0011,-17,7.3,-2.8,6,1
-2.1476,0.0419,9.3972,-0.0127,-0.0077,0.0012,-16.8,7.5,-2.5,6,1
-2.1644,-0.0251,9.4355,0.0111,0.0149,0.0024,-16.6,7.4,-2.5,6,1
-2.15,-0.018,9.4511,-0.0305,-0.0297,-0.0033,-16.6,7.4,-2.5,6,1
-2.1847,0.0862,9.3434,0.0349,0.0223,-0.0057,-16.6,7.6,-2.5,6,1
-2.1775,0.1305,9.3482,-0.0176,-0.0087,-0.0018,-16.9,7.5,-2.7,6,1
-2.1919,-0.0215,9.3398,-0.0128,0.02,0.0019,-16.8,7.5,-2.5,6,1
-2.2003,0.1173,9.2823,0.0093,-0.0244,-0.0037,-16.7,7.5,-2.4,6,1
-4.1503,5.381,1.7178,0.5612,0.5895,0.7672,24.35,26.66,30.42,1,2
-5.6288,8.0852,0.1772,-0.2201,0.5083,1.6108,23.86,28.59,21.46,1,2
-10.2292,8.7927,4.0534,0.1507,-1.5803,-1.2389,28.4,24.09,14.95,1,2
-6.1902,1.0127,1.069,-2.3343,0.6604,0.5027,32.59,-0.83,28.85,1,2
-5.9771,-0.3579,-0.6572,-3.7087,-0.0024,0.1649,19.5,-24.74,32.25,1,2
-4.7872,4.4664,-2.2242,0.5069,2.7697,0.9969,26.1,-29.9,11.91,1,2
-10.5836,3.6524,3.3962,0.1538,1.2492,0.0311,23.91,-28.59,-1.77,1,2
-18.3647,2.3882,6.274,1.7604,-2.2431,-0.8143,21.47,-29.77,-5.14,1,2
-0.1592,-4.4855,2.3439,2.7078,0.0159,-0.9493,20.48,-36.31,0.85,1,2
-14.1557,-2.6588,1.9872,2.0017,-1.5522,1.609,30.75,-24.48,35.26,1,2
-4.6328,2.9209,-0.5794,2.0347,0.9823,0.3549,28.3,17.52,36.56,1,2
-11.1869,7.4735,-0.2119,2.2326,-1.7996,-0.0819,28.86,26.9,20.46,1,2
-11.7675,-4.6436,2.6276,2.2662,-1.7348,0.9914,23.52,25.91,26.89,1,2
0.2179,-1.7142,-1.1887,-1.9231,-0.1423,0.0293,23.26,23.69,27.36,1,2
-16.5858,-3.6931,-5.1236,-2.7118,0.4765,0.0952,23.5,-7.1,37.15,1,2
-8.0086,1.1073,6.7469,-0.0502,0.6762,-0.9774,28.2,-24.71,17.55,1,2
-1.063,-5.3965,5.0206,-0.9696,-0.2217,-1.2065,22.96,-28.44,-0.29,1,2
-10.1275,-4.0318,3.4393,-0.5725,0.909,0.2027,20.17,-27.67,-6.25,1,2
-18.0008,2.1404,-3.1149,-0.9726,-1.4245,1.8851,25.3,-28.83,-2.73,1,2
-2.5786,3.3447,-1.0678,2.1727,1.1839,-0.1894,29.69,-31.51,11.22,1,2
-22.3319,0.8284,-1.5215,3.3334,-1.8546,-3.1906,33.9,2.94,39.89,1,2
0.5471,-3.3519,3.0634,0.411,0.0642,0.3726,31.49,17.25,34.92,1,2
-25.6144,-5.8359,3.2573,-2.0588,-1.2852,1.0628,27.89,25.58,21.34,1,2
-0.7302,2.4768,-5.9448,-3.2102,-2.3268,0.6982,26.01,25.52,20.84,1,2
-8.1798,2.0315,-2.5079,-1.5511,3.1661,1.3487,24.3,13.16,32.32,1,2
-16.368,-0.9697,17.0503,-4.8535,-3.0989,-1.3574,22.66,-23.05,31.89,1,2
-0.9158,-3.6847,1.0008,-1.0936,0.7355,0.5961,17.56,-31.26,1.77,1,2
-28.6358,-0.395,-5.4408,-0.608,1.452,0.8576,23.35,-28.09,-1.25,1,2
-2.0949,5.9843,0.9876,-0.4986,0.7544,2.0634,26.87,-27.17,-3.14,1,2
-20.5375,0.5495,5.0422,0.6871,0.0697,-1.9945,27.18,-31.75,3.39,1,2
-3.7589,-5.1272,-0.4992,2.535,-3.3042,-1.5938,15.84,-28.87,40.65,1,2
0.2801,-5.4109,0.4621,0.9931,-0.5467,-0.3788,29.57,7.22,41.16,1,2
-8.3007,-5.0542,4.4963,-3.1724,-2.1142,3.8618,39.01,14.51,20.74,1,2
-26.6618,2.9257,-6.8606,-1.7533,-2.0617,2.5356,28.63,22.97,21.65,1,2
-5.1092,4.039,-4.6926,-2.3208,0.4374,2.2235,25.17,13.35,32.06,1,2
-9.8988,8.6874,-2.1811,-0.5224,2.9419,-1.4564,29.65,-16.36,30.68,1,2
-22.4013,0.5447,13.3537,1.367,1.5467,-1.0941,23.56,-24.33,-4.87,1,2
-4.5993,-7.2185,2.247,0.984,-1.2162,-2.1497,18.13,-29.98,-6.53,1,2
-5.7054,-5.3726,-0.4214,2.447,-0.9261,-1.8638,13.63,-36.75,-0.24,1,2
3.3088,-8.9687,1.5634,3.9662,-0.0036,1.1838,11.49,-36.68,28.86,1,2
-5.0757,-4.2653,0.1951,0.8038,-0.3219,2.6438,27.01,5.97,45,1,2
-27.8637,2.247,-3.9696,-1.8559,-2.5332,3.2962,31.58,20.84,26.42,1,2
-3.8547,6.7708,-0.9122,-0.7356,1.6261,3.1862,28.1,24.32,19.11,1,2
-16.2351,1.9261,-7.9895,-2.5157,0.4062,2.4019,24.76,20.08,26.5,1,2
-9.2787,-3.3662,-5.0051,-3.1058,2.3732,3.6083,17.29,-27.84,29.18,1,2
-4.4927,7.2054,-0.0431,-1.3471,-0.2712,1.8105,33.26,-20.45,8,1,2
-5.7964,12.9203,1.0475,1.5038,0.9487,-0.1277,29.56,-24.51,-0.99,1,2
-33.344,-5.2397,2.308,0.3352,-1.8405,-3.3116,25.24,-30.63,-1.57,1,2
1.2558,-9.8952,2.5379,1.9675,-4.0989,-3.6048,14.14,-37.22,28.95,1,2
-7.4879,-6.049,2.3008,1.2937,-1.8973,-3.7783,27.25,-2.62,45.36,1,2
0.0287,-8.1104,2.8168,-0.8999,-0.6652,1.7061,34.79,19.53,24.36,1,2
-3.7888,-4.8351,0.9469,-0.9006,0.829,-0.4045,35.72,15.29,20.72,1,2
-21.4161,-1.3791,-4.5945,-2.5352,0.5932,4.0976,28.78,13.68,29.39,1,2
-5.3163,-2.2194,-2.3128,-2.9427,0.3708,2.9871,25.23,-18.21,33.1,1,2
-8.7352,-1.1456,-1.2725,-1.5658,0.0819,1.1355,24.43,-29.04,12.89,1,2
-16.8707,8.5234,3.6368,-0.027,-2.3396,-2.4136,21.78,-29.83,0.78,1,2
-27.0916,2.3176,0.8871,-0.7949,-3.3652,-2.7636,20.63,-28.77,-7.49,1,2
3.1412,-8.3989,2.0016,2.8776,0.7496,-1.6836,16.44,-38.54,9,1,2
-3.4477,-5.7976,-0.2023,3.1147,-0.1613,-0.7038,18.27,-22.15,44.16,1,2
-21.288,5.1846,-1.0906,-0.3227,-1.9737,3.5301,28.12,23.55,31.37,1,2
-3.4117,6.1028,-0.7793,0.9253,0.9432,0.8472,22.71,32.25,10.82,1,2
-3.401,6.9623,-0.1616,1.2393,1.2193,0.1997,28.92,24.33,15.28,1,2
-17.5172,1.4976,-1.1253,-1.5133,-0.5296,-0.9402,29.51,9.52,29.42,1,2
2.6049,-3.3495,0.6668,-1.1302,0.2389,0.1789,21.74,-23.71,30.55,1,2
-20.9421,3.5195,-1.2486,-2.7839,-1.3518,3.1233,16.74,-33.03,6.08,1,2
-2.8862,4.0893,-1.1911,-0.9604,1.452,1.7146,23.91,-28.56,1.4,1,2
-4.6112,6.1136,4.0306,1.1782,0.8497,0.4892,22.66,-27.32,-5.97,1,2
-8.3103,6.5757,1.421,1.5203,0.1802,-2.3006,22.94,-34.72,5.33,1,2
-26.6714,3.1627,-4.3539,4.6626,-1.1001,-2.2144,31.27,-3.08,41.24,1,2
-1.506,-5.6862,3.5027,-0.7906,1.2498,-4.3732,34.58,13.02,32.17,1,2
-4.0713,-5.2086,-0.7242,1.1684,1.7251,1.2027,34.35,17.1,26.93,1,2
-24.3825,8.9399,2.4792,-1.1583,-3.1252,2.331,33.37,18.29,20.5,1,2
-2.9425,4.1851,-3.4153,-4.3147,0.3525,2.5674,22.88,19.89,29.34,1,2
-1.986,0.5423,-1.5682,-2.5395,1.8118,0.8435,31.45,-10.21,31.56,1,2
-15.0081,3.7828,4.5933,0.3969,0.212,1.16,29.96,-21.13,-0.6,1,2
-9.1411,-4.6112,2.4529,1.045,-0.6909,-2.8687,22.65,-27.2,-3.73,1,2
3.3842,-4.719,0.3819,0.5881,2.0965,0.9547,16.7,-30.94,-7.27,1,2
-18.6077,-3.8152,5.2864,1.9797,0.752,0.7128,18.16,-35.12,-1.68,1,2
-2.2278,4.361,0.0622,2.2717,-0.3915,2.3481,28.56,-21.3,36.58,1,2
-3.5015,4.9835,-1.5323,3.9992,2.4282,-0.782,34.6,13.61,33.84,1,2
-26.7947,-1.7873,-0.1772,-0.0014,-0.2798,-2.6011,33.19,22.23,23.08,1,2
-1.3599,0.237,0.231,-0.2811,1.7404,0.2834,34.92,14.22,26.55,1,2
-7.1503,5.1727,-4.1934,-0.242,1.4307,0.4593,25.99,26.05,17.36,1,2
-19.9006,5.6946,8.5305,-2.3288,0.9908,-2.7722,29.3,5.56,32.11,1,2
-0.0036,-4.7058,0.8487,-1.7716,-2.4471,-3.2566,12.99,-33.67,20.32,1,2
-0.2011,-6.511,-0.0874,-0.9274,-0.0098,1.554,17.26,-31.58,2.46,1,2
-22.9999,2.2709,-2.5965,-0.9293,0.7147,1.2369,24.04,-28.76,-0.15,1,2
-5.5749,8.0182,1.6352,0.7146,1.3476,0.9089,26.28,-25.07,-7.51,1,2
-28.3007,1.0199,4.1695,1.3865,-1.5143,-2.3055,21.54,-34.29,0.63,1,2
-0.0036,-5.1236,-2.0985,2.8386,-4.3952,-0.9677,10.36,-28.84,42.12,1,2
-19.6803,7.0904,-2.8132,-0.7106,-1.4257,2.5558,31,19.14,34.62,1,2
-2.1033,4.4879,-2.0925,1.8288,1.0092,0.2754,27.93,29.89,16.39,1,2
-16.8576,4.2138,5.4001,0.359,0.0623,-1.7178,27.97,26.63,17.55,1,2
-9.4164,-4.4652,1.5371,0.4214,0.7862,-2.3574,28.62,19.5,26.63,1,2
-2.5379,-4.4149,0.3759,-1.0087,0.7379,3.2827,31.05,-2.52,29.91,1,2
-19.733,5.0913,-10.319,-2.6782,-1.0091,4.0207,24.15,-26.33,22.14,1,2
-5.199,7.0773,0.929,-0.4583,0.2554,0.9651,23.73,-28.49,3.46,1,2
-4.9883,7.8183,2.0051,-0.1009,-1.9584,-1.3702,21.57,-30.28,0.7,1,2
-23.6356,-0.431,1.6604,0.5496,-1.7599,-1.7936,23.22,-30.03,-2.86,1,2
1.2294,-4.543,0.7554,2.4323,-0.7404,-1.1919,15.44,-36.76,-1.17,1,2
-10.416,-5.0817,2.5115,1.6993,-1.9169,2.4361,17.13,-34.09,33.75,1,2
-5.193,3.9421,-1.4521,-1.7918,-1.0421,3.2186,27.17,17.23,38.92,1,2
-2.2051,6.2824,-3.5901,1.6706,-0.0501,-0.876,27.99,29.12,18.19,1,2
-8.8071,1.494,1.1624,0.6016,0.1527,1.1484,29.09,25.77,17.35,1,2
-27.1538,2.6085,9.3422,-2.2829,-2.2186,-0.8033,25.61,23.74,22.67,1,2
-3.1292,-2.8754,-3.1196,-1.8743,1.912,0.4123,22.55,-11.64,39.28,1,2
-12.0189,3.0394,-2.3224,-1.4772,-1.2828,1.0396,14.52,-33.47,17.53,1,2
-6.0346,7.6519,-0.7302,0.1685,0.628,2.0647,23.42,-29.7,7.87,1,2
-20.8774,8.4432,2.2996,-1.5603,-1.8185,-1.9817,14.38,-32.48,0.01,1,2
0.7338,-5.7305,1.2366,-0.3416,-2.1649,-2.1607,10.83,-33.86,-3.06,1,2
2.0865,-5.1068,1.2665,2.1776,-0.1301,0.8313,9.19,-39.79,10.16,1,2
-30.7607,0.2023,4.197,1.9332,-1.9187,1.2388,22.12,-22.36,42.65,1,2
-1.4545,8.5353,-0.1832,1.629,1.7764,0.4135,34.45,15.06,33.88,1,2
-17.7925,7.0629,6.7852,1.1312,-0.5003,-0.6384,33.87,20.28,27.27,1,2
1.6005,-7.033,2.0758,0.9265,-0.6328,-0.3782,36.61,13.94,25.97,1,2
0.1018,-3.0574,0.1592,-0.6287,1.9609,0.9932,35.34,7.92,27.37,1,2
-20.9373,8.8957,-11.9124,-3.1693,-1.8204,2.4965,27.99,3.69,33.07,1,2
-4.5143,4.8495,-3.7314,-2.928,2.3384,2.6859,22.71,-19.68,33.7,1,2
-5.4731,6.7708,0.4729,-0.8694,-0.9664,-0.4014,20.42,-27.25,-0.58,1,2
-16.3464,7.1419,5.0865,-0.4027,-0.653,-1.8711,19.73,-28.09,-3.12,1,2
-5.0769,-3.5087,1.1576,1.2753,-0.9389,-1.1625,11.58,-33.71,-2.58,1,2
-9.9479,1.2629,0.7661,0.022,0.0971,-0.1972,-10.2,-25.3,-5.9,2,2
-6.6499,2.0099,1.8962,0.653,-0.3965,0.3129,-7.4,-25.2,-4.9,2,2
-10.0042,0.395,0.9373,-0.0971,0.4416,-0.1642,-11.7,-28.9,-4.1,2,2
-10.8266,1.7478,2.563,0.5455,-0.5633,-0.2497,-6.4,-26.9,-4.4,2,2
-8.0337,2.3523,3.48,0.0244,0.1698,-0.2803,-5.94,-29.47,-0.36,2,2
-10.3214,-0.51,0.5638,0.689,0.6737,-0.1801,-4.03,-31.58,9.09,2,2
-10.5285,-0.2155,1.4425,1.6395,-0.3263,0.1357,8.84,-12.06,28.92,2,2
-8.1032,0.3938,4.045,1.5271,0.0971,-0.5277,12.93,11.97,25.29,2,2
-9.5768,0.4752,0.7554,0.9865,0.3494,-0.3792,8.3,26.73,18,2,2
-9.7707,1.2246,1.7178,0.3225,-0.0306,-0.017,5.5,29.8,16,2,2
-7.5992,1.3563,2.6264,0.6609,-0.2639,0.3581,4.58,30.03,6.02,2,2
-10.0616,-0.6416,2.1165,-0.2786,-0.2084,-0.2045,5.5,28.6,7,2,2
-9.9575,1.0977,1.4174,0.2956,0.0794,-0.1838,3.2,29.4,13.9,2,2
-8.1056,1.7729,1.6472,0.719,-0.0178,0.3104,0.88,30.6,10.6,2,2
-9.979,-0.425,0.8775,-0.6481,-0.1717,-0.0402,1.7,28.1,9.9,2,2
-10.0796,1.4401,1.8375,-0.1063,-0.2065,0.0746,-2.2,29.8,13.4,2,2
-7.7668,1.5239,2.7198,1,-0.1564,0.5328,2.36,27.32,3.13,2,2
-9.4942,0.1053,1.6568,-0.8503,0.2993,-0.2125,3.8,25.9,4.3,2,2
-10.1909,1.5048,0.7745,-1.1729,0.2669,0.0801,1.41,22.98,15.49,2,2
-7.8195,2.1572,1.9178,-1.3855,0.1197,0.6629,3.24,14.11,19.7,2,2
-9.2081,0.735,0.5291,-1.9273,0.6304,0.2286,-4.24,-19.78,20.7,2,2
-9.5205,1.7633,0.9744,-0.4466,-0.3873,-0.1599,-7.86,-26.83,7.84,2,2
-10.0281,0.0359,2.7845,-0.4264,-0.2682,0.8248,-8.63,-26.82,4.39,2,2
-8.3869,2.8395,3.4931,-0.1002,0.4282,-0.0897,-18.88,-27.4,1.65,2,2
-10.1011,0.2083,-0.3328,-0.3696,-0.2542,-0.2448,-18,-26.6,-0.7,2,2
-9.3577,-0.5842,0.2227,1.2626,0.0079,0.1797,-12.2,-24.4,-2,2,2
-8.9723,3.4776,3.4644,0.0116,0.5192,-0.0017,-14.13,-27.41,1.42,2,2
-9.2189,1.4868,0.8428,-0.3714,-0.3208,-0.433,-13.3,-28.4,0.3,2,2
-10.6769,0.0024,0.9206,0.3457,-0.6103,0.7533,-8.3,-26.8,-0.4,2,2
-8.6191,3.3926,3.784,-0.4319,0.4337,-0.3572,-11.69,-29.97,1.77,2,2
-9.6163,1.0678,0.9026,-0.0562,-0.1631,-0.1563,-8.31,-28.5,-0.39,2,2
-8.6586,-0.2298,3.4812,-0.1949,-0.9597,0.914,-3.8,-26.7,-0.4,2,2
-11.0648,2.8982,4.5789,0.8998,0.0794,-0.4018,-2.52,-29.36,13.48,2,2
-10.1718,0.4992,0.674,2.1484,-0.3415,-0.6712,-0.25,-27.03,22.15,2,2
-9.7348,0.0503,2.053,1.3677,-0.4784,-0.5539,11.3,-3.91,31.38,2,2
-8.4324,2.0889,3.4225,1.2565,-0.0489,-0.9278,10.5,25,17.14,2,2
-9.924,0.2921,1.0211,-0.0568,0.474,0.0447,8.7,27.8,15.7,2,2
-10.7595,2.1691,1.7538,0.6316,-0.4063,-0.1587,5.3,30.4,14,2,2
-7.7285,2.5199,2.4265,0.2963,-0.0789,0.33,3.97,29.55,4.25,2,2
-9.2213,0.4872,0.4884,-0.0312,0.6243,-0.2485,5.25,27.48,7.62,2,2
-9.7432,2.472,1.798,0.0696,-0.512,-0.0848,2.7,29.9,12.4,2,2
-7.4543,2.3439,1.2306,0.0898,0.3262,0.2225,2.2,27.93,8.32,2,2
-10.7224,-0.4489,1.4425,-0.0428,-0.0648,-0.1495,1.25,27.05,13.58,2,2
-9.821,-0.0946,0.7673,0.992,-0.0581,-0.2479,-1.64,29.19,14.12,2,2
-8.0625,3.1687,4.3682,-0.7361,0.7342,0.1846,0.2,28.1,6.1,2,2
-10.4363,1.8471,1.5586,-0.9902,0.1948,0.0948,0,22.96,17.01,2,2
-8.6898,0.9074,0.8248,-1.5455,-0.4784,0.542,-0.2,19,21.5,2,2
-10.1347,1.9201,3.6272,-2.4252,0.7367,0.8217,1.18,0.9,26.15,2,2
-9.8462,1.2067,-0.3328,-1.6469,0.2278,0.2493,-9.26,-23.35,20.61,2,2
-9.8617,1.3575,1.0127,-0.4899,-0.1277,0.104,-11.45,-26.21,7.94,2,2
-7.1658,1.6747,4.027,-0.4789,-0.1008,0.1797,-15.71,-25.87,-0.43,2,2
-8.5844,1.67,3.0742,-0.5156,0.4337,0.0649,-16.8,-25.8,-3.2,2,2
-10.0006,1.8651,0.7242,-0.0293,-0.2047,-0.1324,-13.3,-24.2,-5.8,2,2
-9.2895,0.8715,5.1248,1.0323,-0.3427,0.209,-11.4,-23.8,-5.9,2,2
-10.8326,-0.0946,1.6724,-0.7227,-0.0434,-0.1043,-13.7,-25.7,-5.9,2,2
-9.5301,2.4038,2.2913,0.4398,-0.2664,-0.188,-10.4,-24.9,-7.2,2,2
-8.509,2.0818,2.982,-0.1827,0.1386,-0.0958,-9.2,-26.1,-6.6,2,2
-9.9419,-0.103,0.8428,-0.471,-0.2639,-0.2717,-9.7,-27.4,-6.2,2,2
-10.1059,2.4098,2.727,1.306,-0.4839,-0.6419,-6.3,-26.3,-6.7,2,2
-7.9595,2.3762,2.6097,-0.0672,0.5955,-0.2809,-4.96,-30.15,-3.12,2,2
-10.2376,-0.316,0.8404,-0.0073,0.6255,0.3672,-0.66,-33.16,2.57,2,2
-9.4523,-0.0383,1.6747,1.1881,-0.1558,-0.1025,9.98,-22.71,19.12,2,2
-8.424,1.0116,4.3682,1.5198,-0.132,-0.3603,17.1,4.8,24.34,2,2
-9.6355,-0.5926,3.2322,0.9144,-0.2945,0.3288,14.79,21.23,16.93,2,2
-9.9036,1.1612,0.7889,0.4184,-0.052,-0.1587,10.26,27.73,14.18,2,2
-9.5565,1.895,5.2816,0.5259,-0.0746,0.4393,8.87,29.66,6.38,2,2
-11.0061,0.9661,0.7578,-0.7453,-0.1351,0.1412,11.4,26.5,4.3,2,2
-10.0556,2.2458,1.8663,-0.0061,-0.0966,-0.141,10.76,26.04,10.03,2,2
-7.009,2.2075,1.8878,0.6603,-0.0562,0.242,8.45,26.64,4.01,2,2
-7.9128,1.2881,0.9661,-1.1228,-0.0434,0.2096,8.4,25.4,4.8,2,2
-9.4056,2.2637,2.1691,0.6487,-0.6256,-0.3133,5.4,25.5,11.2,2,2
-7.1275,2.4385,1.7119,-0.4734,0.4001,0.319,3.5,27.5,7.8,2,2
-8.9783,1.6747,0.6895,-0.8974,0.0586,0.0032,4.64,24.25,11.25,2,2
-9.4703,1.4796,1.1827,-0.6286,-0.4002,0.107,2.51,15.93,22.79,2,2
-9.3218,1.907,1.986,-1.9725,1.4092,1.0563,2.64,-2.07,25.47,2,2
-9.6642,1.834,-0.7997,-0.4924,0.7745,-0.042,-11.68,-23.15,23.6,2,2
-9.6606,2.2182,-0.1149,-1.0251,-0.0263,0.0783,-13.92,-27.02,10.62,2,2
-9.1363,2.0087,4.9775,-0.2181,-0.1289,0.6617,-15.97,-26.37,-0.9,2,2
-9.2464,3.3914,3.9337,-0.0049,0.1704,0.0056,-17.2,-26,-4,2,2
-9.4344,1.9776,1.2342,-0.336,0.0323,-0.2668,-14,-25.4,-4.6,2,2
-7.3897,1.7214,5.3846,-0.0196,-0.0813,0.1968,-11.2,-23.9,-6.9,2,2
-8.9471,4.027,5.1451,0.0232,0.4471,0.1699,-14.5,-26.4,-6.1,2,2
-8.8945,2.1189,1.6352,0.025,-0.0911,-0.4641,-12.1,-26.6,-6.9,2,2
-7.3275,1.986,5.4815,-0.9298,-0.0892,1.2176,-8.5,-25.8,-7.3,2,2
-10.0317,3.7721,4.5669,-0.7954,0.3799,0.2689,-11,-28.4,-5.8,2,2
-9.596,1.9166,1.4928,0.0434,-0.0715,-0.1068,-7,-27.8,-6.2,2,2
-8.2612,0.7051,3.1532,1.5736,-0.5993,-0.094,-3.5,-27.5,-4.8,2,2
-7.2472,1.2354,2.2158,0.4649,0.2193,0.0453,-3.15,-31.18,1.69,2,2
-9.754,1.2701,1.3228,1.9456,-0.2664,-0.8362,3.51,-28.12,14.11,2,2
-8.8909,0.8871,3.4979,2.3799,-0.3879,-0.8325,16.08,-3.87,26.73,2,2
-10.1909,1.1768,3.9899,0.9114,0.1496,-0.3933,15.16,20.27,19.91,2,2
-9.3506,1.2354,1.7358,0.2089,0.3414,-0.1624,14,23.5,18.5,2,2
-10.1706,-0.0599,1.3372,1.4422,-0.2432,-0.5381,7.57,32.1,9.25,2,2
-8.7831,2.4804,4.3227,-0.2755,0.5931,-0.1453,8.2,31.2,3.9,2,2
-9.7133,-0.0766,0.2394,-0.2602,-0.0355,-0.2393,7.6,30.9,7.4,2,2
-11.2587,0.2478,2.2853,0.89,-0.3427,-0.2516,3.6,33.8,10,2,2
-10.5668,2.1703,3.9708,-0.248,0.1704,-0.0659,4.55,31.85,4.31,2,2
-9.2105,1.1684,2.0865,-0.6567,-0.1418,-0.4782,5.9,29.2,6,2,2
-9.4056,-0.8344,0.6153,0.7782,0.0219,-0.1208,2.4,29.9,7.6,2,2
-9.1339,2.4098,4.3431,-0.212,0.0244,0.0368,4.7,27.1,4.3,2,2
-9.2955,1.1217,1.7406,-0.4001,-0.0837,-0.3615,3.17,24.93,14.5,2,2
-8.6838,0.1903,0.7183,-1.2407,-0.391,0.7319,2,24.7,17.1,2,2
-8.9004,1.4988,2.1356,-1.7263,0.5937,1.2671,5.62,8.9,22.31,2,2
-9.6498,1.6987,0.8248,-1.5534,0.3121,0.2732,-0.68,-12.86,25.42,2,2
-9.9431,0.8392,1.3503,-1.0843,-0.0843,0.1877,-5.69,-26.14,8.56,2,2
-7.9906,1.7681,3.4189,-0.5345,0.1985,0.8132,-11.29,-27.78,-2.15,2,2
-11.1175,1.7933,3.1268,-0.5675,0.2437,0.0917,-13.7,-27.6,-7.1,2,2
-9.6738,1.5538,1.4664,0.1484,0.0678,-0.1483,-9.52,-25.58,-10.31,2,2
-9.3338,1.2486,5.3546,-0.6854,-0.7587,1.041,-5.5,-24,-10.3,2,2
-11.8561,1.7897,3.7098,0.2022,1.0567,-0.2088,-9.8,-26.5,-10.4,2,2
-9.7181,1.6257,1.2378,0.3757,-0.0013,-0.4666,-6.4,-25.9,-11,2,2
-8.8286,1.9417,5.7317,-0.6182,-0.1729,0.9347,-3.6,-25.7,-11,2,2
-11.0241,1.8028,3.5111,-0.4912,-0.0489,0.176,-7.7,-29.5,-9.8,2,2
-9.9072,1.6532,1.5263,0.3231,-0.3324,-0.3071,-4.2,-28,-11.5,2,2
-7.0018,1.2007,2.0949,0.9212,-0.4722,-0.2027,-0.8,-27.6,-9.9,2,2
-7.2305,1.0654,2.2338,-0.7404,0.2864,-0.0127,-2.26,-31.64,-5.54,2,2
-10.1837,1.391,1.093,1.4514,-0.1381,-0.8093,6.71,-29.28,8.79,2,2
-8.3941,0.7769,4.0917,1.5632,-0.0746,-0.7146,18.11,-7.33,22.92,2,2
-8.5892,1.6053,4.3012,1.3543,-0.0379,-0.5216,19.85,15.69,17.34,2,2
-7.6926,0.7254,4.2042,0.4233,0.3341,-0.3713,18.1,20.11,15.56,2,2
-9.3936,1.7873,1.6484,0.4734,-0.1222,-0.21,14.6,24.6,14.6,2,2
-8.8873,1.3443,3.5865,0.025,-0.2969,-0.0726,11.02,27.42,11.04,2,2
-11.9758,-0.2885,0.1293,0.7727,0.9114,-0.3426,9.18,25.75,12.96,2,2
-10.0269,1.4497,0.9421,-0.0544,-0.1809,-0.2558,6.25,27.75,15.05,2,2
-9.1877,1.5455,5.0793,0.4673,0.0739,0.8798,3.49,30.78,8.84,2,2
-9.4595,-0.3508,1.4293,-0.5901,0.2107,-0.3884,5.34,26.7,9.04,2,2
-10.1227,1.2749,2.6324,-0.1155,0.1056,0.126,-2.16,30.72,14.55,2,2
-8.8095,1.4054,3.1029,-0.3507,0.4807,-0.1025,-0.56,30.42,6.06,2,2
-10.4028,-0.9361,0.559,-0.7447,0.4746,-0.1819,-1.82,29.8,11.77,2,2
-10.6051,0.4968,2.065,-0.6372,-0.7917,0.6055,-1.83,25.55,19.59,2,2
-9.3673,0.2083,2.9425,-2.5663,0.375,0.8602,5.4,0.25,24.44,2,2
-9.1399,0.1987,-0.1089,-1.3916,0.2919,0.1351,-0.99,-20.91,17.8,2,2
-10.2005,0.5016,1.9788,0.3952,-0.2768,0.063,-2.57,-24.86,2.02,2,2
-8.6742,1.3084,4.2162,-0.4924,0.1319,0.2035,-6.94,-26.42,-2.43,2,2
